,shop_name,d1,d2
0,울릉도,경북,울릉군
0,롯데속초리조트,강원,속초시
0,내린천휴게소,강원,인제군
0,의정부낙양,경기,의정부시
0,양주옥정,경기,양주시
0,롯데마트시흥배곧,경기,시흥시
0,울산역사,울산,울주군
0,송파하비오,서울,송파구
0,광주하남2지구,광주,광산구
0,충북혁신도시,충북,음성군
0,배곧신도시,경기,시흥시
0,제주표선해변,제주,서귀포시
0,하나로고양,경기,고양시
0,부산남산정역,부산,북구
0,울산정자해변,울산,북구
0,롯데마트서울양평,서울,영등포구
0,부산전포,부산,부산진구
0,해운대백병원,부산,해운대구
0,신부산역사,부산,동구
0,양주광적,경기,양주시
0,천안불당,충남,천안시
0,울산우정,울산,중구
0,하나로마트광주수완,광주,광산구
0,대전죽동,대전,유성구
0,향남2신도시,경기,화성시
0,익산역,전북,익산시
0,백령도,인천,옹진군
0,평내,경기,남양주시
0,인천서구,인천,서구
0,전주평화,전북,전주시
0,아산테크노밸리,충남,아산시
0,진주상봉,경남,진주시
0,대전산성,대전,중구
0,포항효자,경북,포항시
0,홈플러스파주운정,경기,파주시
0,오산세교D/T,경기,오산시
0,순천오천,전남,순천시
0,안산와동,경기,안산시
0,장한평역,동대문구,천호대로
0,충주용산,충북,충주시
0,안양석수D/T,경기,안양시
0,양산증산,경남,양산시
0,목감신도시,경기,시흥시
0,평택청북,경기,평택시
0,부산명지국제신도시,부산,강서구
0,중화역,서울,중랑구
0,아산북수,충남,아산시
0,동탄역사,경기,화성시
0,수서역사,서울,강남구
0,대구금호사수,대구,북구
0,경북도청,경북,안동시
0,진주신안,경남,진주시
0,양산물금,경남,양산시
0,제기역,서울,동대문구
0,안성휴게소(상),경기,안성시
0,대구세천,대구,달성군
0,수원연무,경기,수원시
0,경기대역,경기,수원시
0,파주적성,경기,파주시
0,양재동,서울,서초구
0,정읍상동,전북,정읍시
0,영등포롯데,서울,영등포구
0,영등포역사,서울,영등포구
0,대구가창D/T,대구,달성군
0,포일IT,경기,의왕시
0,안성맞춤휴게소(상),경기,안성시
0,안성맞춤휴게소(하),경기,안성시
0,죽암휴게소(하)D/T,충북,청주시
0,용인모현,경기,용인시
0,부산해운대좌동,부산,해운대구
0,평택안중D/I,경기,평택시
0,화성반월,경기,화성시
0,남성역,서울,동작구
0,울산옥동타워,울산,남구
0,영주가흥,경북,영주시
0,전주하가D/I,전북,전주시
0,용인천리,경기,용인시
0,부산재송,부산,해운대구
0,고성간성,강원,고성군
0,오창2산단,충북,청주시
0,이천하이닉스,경기,이천시
0,파주당동,경기,파주시
0,현풍테크노폴리스,대구,달성군
0,수지풍덕천,경기,용인시
0,의정부민락,경기,의정부시
0,광주백운,광주,남구
0,세종종촌,세종,도움1로
0,부산신호,부산,강서구
0,전남함평,전남,함평군
0,울산명촌,울산,북구
0,위례역,경기,성남시
0,안산부곡,경기,안산시
0,청주내수,충북,청주시
0,김천혁신도시,경북,김천시
0,인덕원역,경기,안양시
0,주안,인천,남구
0,제주한림,제주,제주시
0,동탄커뮤니티,경기,화성시
0,구미문성,경북,구미시
0,충남도청,충남,홍성군
0,평택청북D/T,경기,평택시
0,보령동대,충남,보령시
0,춘천우두,강원,춘천시
0,대구율하중앙,대구,동구
0,무주리조트,전북,무주군
0,롯데마트마산양덕,경남,창원시
0,용산서계,서울,마포구
0,구월아시아드,인천,남구
0,울산반구,울산,중구
0,시흥하중,경기,시흥시
0,세종부강,세종,부강면
0,홈플러스송도,인천,연수구
0,인천학산,인천,남구
0,창원감계,경남,창원시
0,전남구례,전남,구례군
0,거제상문,경남,거제시
0,김천모다아울렛,경북,김천시
0,인천공항A/S동편,인천,중구
0,서대문역,서울,서대문구
0,인천공항1층,인천,중구
0,자운대,대전,유성구
0,청주강내,충북,청원군
0,삼양사거리,서울,강북구
0,롯데아울렛고양터미널,경기,고양시
0,모슬포,제주,서귀포시
0,부산송도,부산,서구
0,용인휴게소(상),경기,용인시
0,패션아일랜드대전,대전,동구
0,대구역사,대구,북구
0,전주도청,전북,전주시
0,당진신평,충남,당진군
0,일산웨스턴돔,경기,고양시
0,광주선운,광주,광산구
0,평택비전,경기도,평택시
0,고양원흥,경기,고양시
0,천왕역,서울,구로구
0,아산용화,충남,아산시
0,아산신창,충남,아산시
0,외대역,동대문구,이문동
0,화성화산D/T,경기,화성시
0,청주지웰,충북,청주시
0,서울대입구역,서울,관악구
0,대전월평,대전,서구
0,신방화역,서울,강서구
0,강릉주문진,강원,강릉시
0,진주초전D/I,경남,진주시
0,서동탄역,경기,화성시
0,오목천D/T,경기,수원시
0,가평현리,경기,가평군
0,천안통정,충남,천안시
0,성남도촌,경기,성남시
0,롯데이천아울렛,경기,이천시
0,제주외도D/T,제주,제주시
0,여주가남,경기,여주군
0,충남광천,충남,홍성군
0,서울대,서울,관악구
0,센텀프라자빌딩,부산,해운대구
0,광주농성D/T,광주,서구
0,김포구래,경기,김포시
0,롯데아울렛동부산1층,부산광역시,기장군
0,원주반곡,강원,원주시
0,청주율량2지구,충북,청주시
0,청평D/T,경기,가평군
0,나주혁신,전남,나주시금천면
0,안동용상D/T,경북,안동시
0,전남장성,전남,장성군장성읍
0,대구월드컵대로,대구,수성구
0,부산학장,부산,사상구
0,경북봉화,경북,봉화군
0,롯데아울렛광명,경기,광명시
0,세종첫마을,세종,연기면
0,경남하동,경남,하동군
0,홈플러스세종,세종,금남면
0,거제수월,경남,거제시
0,광주오포,경기,광주시
0,대전용운,대전,동구
0,명덕네거리,대구,중구
0,보문역,서울,성북구
0,광주능평,경기,광주시
0,울산성안,울산,중구
0,양평용문,경기,양평군
0,부산대청,부산,중구
0,제주아라,제주,제주시
0,잠실롯데월드몰B1,서울,송파구
0,메가마트기장,부산,기장군
0,경북고령,경북,고령군
0,신호매실,경기,수원시
0,인천영종하늘도시,인천,중구
0,전주혁신,전북,전주시
0,인천서창,인천,남동구
0,제주항D/T,제주,제주시
0,부산망미,부산,수영구
0,창원동읍,경남,창원시
0,천안차암,충남,천안시
0,양산석산,경남,양산시
0,천안성거,충남,천안시
0,금곡,경기,남양주시
0,강릉포남,강원,강릉시
0,수원탑동,경기,수원시
0,부산물만골역,부산,연제구
0,구미공단,경북,구미시
