,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
218,자비스,254120,2565,2565,80,2560,-3.02,2645,288335,2680,746,2690,100,2555,3435,3445,1855,1855,-6.61,-388,3770,1525,569,22182217,1777,2218
219,자이글,234920,5090,5090,40,5060,-0.78,5130,49699,5150,253,5200,500,5050,6660,6630,3600,3570,27.97,182,6130,2900,689,13530910,69,6765
220,정상제이엘에스,40420,7150,7160,10,7150,-0.14,7160,58991,7160,421,7190,500,7110,9300,9300,5020,5020,10.97,652,7830,5850,1121,15677552,615,8478
221,제우스,79370,26550,26600,400,26550,-1.48,26950,57769,26950,1540,27150,500,26500,35000,35000,18900,18900,11.85,2240,33400,11700,2757,10384000,463,5192
222,제이씨현시스템,33320,8010,8010,50,8000,-0.62,8060,139570,8050,1111,8050,500,7910,10450,10450,5650,5650,11.87,675,10350,5140,1531,19114432,427,9557
223,제이엘케이,322510,7490,7500,140,7490,-1.83,7630,64786,7580,486,7650,100,7420,9910,9940,5350,5360,-14.16,-529,16450,6850,1136,15160989,68,1516
224,제이엠티,94970,4590,4590,185,4585,+4.20,4405,538644,4410,2405,4600,500,4285,5720,5780,3085,3115,10.85,423,4995,2425,769,16748240,266,8374
225,제주반도체,80220,5810,5830,90,5810,-1.53,5900,199136,5900,1163,5930,500,5810,7670,7650,4130,4130,-90.78,-64,8000,2830,1994,34319706,0,17309
226,조아제약,34940,4945,4945,410,4940,+9.04,4535,15877388,4450,77363,5080,500,4450,5890,5920,3175,3195,-91.57,-54,6640,3855,1532,30979827,375,15489
227,주성엔지니어링,36930,14250,14250,350,14200,-2.40,14600,488465,14600,7004,14650,500,14100,18950,18900,10250,10200,74.61,191,16200,6120,6876,48249212,5334,24124
228,지엔씨에너지,119850,5490,5490,110,5460,-1.96,5600,118226,5640,651,5650,500,5450,7280,7260,3920,3920,18.55,296,8010,5050,903,16448909,414,8374
229,지엔코,65060,1010,1015,15,1010,-1.46,1025,352398,1025,358,1030,500,1005,1330,1305,720,705,-6.52,-155,1350,871,990,98008044,2455,49004
230,초록뱀컴퍼니,52300,1620,1620,40,1615,-2.41,1660,498223,1660,809,1660,500,1605,2155,2145,1165,1155,5.89,275,1840,231,1121,69188767,1551,34594
231,캐스텍코리아,71850,4465,4465,825,4460,-15.60,5290,2029028,5200,9467,5430,500,4355,6870,6940,3710,3740,-4.25,-1051,5550,2380,740,16569188,2850,8284
232,컴투스,78340,113800,113800,2300,113700,-1.98,116100,141881,116000,16191,116000,500,113000,150900,151100,81300,81500,18.54,6138,180600,104500,14642,12866420,1856,6433
233,케이비제20호스팩,342550,2180,2180,10,2175,-0.46,2190,5607,2195,12,2195,100,2175,2845,2845,1535,1535,57.37,38,2700,1940,142,6501000,0,650
234,케이티알파,36030,10000,10000,200,9990,-1.96,10200,248485,10300,2493,10350,1000,9960,13250,13450,7150,7250,232.56,43,19950,4795,4902,49019283,468,49019
235,케이프이에스제4호,347140,2425,2430,15,2425,-0.61,2440,2923345,2505,7449,2750,100,2385,3170,2975,1710,1605,49.49,49,3400,1995,73,3009000,1,300
236,케이피엠테크,42040,3010,3015,170,3010,-5.35,3180,4240665,3095,12927,3165,100,2965,4130,4190,2230,2260,-150.50,-20,7460,958,4222,140276798,2705,14024
237,케이피티유,54410,8710,8710,210,8680,+2.47,8500,30496,8540,265,8830,500,8540,11050,10900,5950,5880,-14.09,-618,16200,3845,441,5060000,232,2530
238,켄코아에어로스페이스,274090,16800,16850,50,16800,-0.30,16850,118422,16800,1965,16800,500,16450,21900,21450,11800,11550,-20.92,-803,22800,6480,1980,11784088,3572,5892
239,코스나인,82660,1480,1485,150,1480,-9.20,1630,4964886,1630,7354,1640,500,1415,2115,1845,1145,995,-3.10,-478,2150,1170,558,37687785,1070,18843
240,코스온,69110,2630,0,0,0,0.00,2630,0,0,0,0,500,0,3415,3415,1845,1845,-1.60,-1639,5960,2630,630,23940660,176,11970
241,코오롱생명과학,102940,31400,31400,100,31350,+0.32,31300,46736,31450,1452,31750,500,30600,40650,38700,21950,20900,-8.95,-3508,36800,17850,3583,11412356,234,5706
