,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
349,인천도시가스,34590,28600,28600,300,28500,-1.04,28900,2337,28900,66,28900,5000,28450,37550,37350,20250,20150,10.92,2620,30650,24100,1251,4374754,78,21873
350,일동홀딩스,230,13500,13500,0,13450,0.00,13500,14130,13500,188,13500,1000,13200,17550,17550,9450,9450,-5.18,-2605,17350,8600,1558,11540400,237,11540
351,지엠비코리아,13870,6800,6830,80,6800,-1.16,6880,28403,6880,193,6900,500,6800,8940,8940,4820,4820,-20.48,-332,11000,4800,1297,19072280,10631,9536
352,케이씨텍,281820,28550,28600,800,28550,-2.73,29350,87089,29500,2522,29500,500,28350,38150,37850,20550,20450,13.38,2134,33350,18700,5956,20861556,2291,10430
353,코리아써키트,7810,15200,15250,250,15200,+1.67,14950,582085,15000,8913,15550,500,14900,19400,19200,10500,10400,40.32,377,18150,11700,3590,23620751,718,11810
354,코스모화학,5420,13150,13150,200,13100,+1.54,12950,1567582,13100,20577,13350,1000,12750,16800,16300,9100,8800,-20.02,-657,14400,7290,3640,27679220,378,27653
355,코아스,71950,1585,1590,25,1585,-1.55,1610,613686,1615,975,1625,500,1565,2090,2020,1130,1090,-31.08,-51,1740,990,490,30907210,1508,15453
356,코오롱,2020,30550,30600,300,30550,-0.97,30850,22072,30950,677,31050,5000,30550,40100,39800,21600,21500,3.26,9365,38800,18400,3857,12626426,1500,63132
357,코오롱플라스틱,138490,7440,7440,10,7430,+0.13,7430,158130,7520,1177,7590,1000,7350,9650,9430,5210,5090,28.84,258,8850,3775,2827,38000000,787,38000
358,쿠쿠홀딩스,192400,128000,128000,1500,127500,-1.16,129500,7086,130000,902,130000,500,126000,168000,166000,91000,90000,7.37,17375,144500,78600,9104,7112437,541,3556
359,큐로,15590,591,591,3,590,-0.51,594,884811,593,522,595,500,586,772,770,416,416,-59.10,-10,770,527,1366,231211638,4485,115605
360,태영건설,9410,12250,12300,100,12250,-0.81,12350,126803,12450,1553,12450,500,12200,16050,15900,8650,8600,1.30,9419,22050,8500,4765,38899098,4342,19449
361,티비에이치글로벌,84870,2640,2680,10,2640,-0.38,2650,56190,2660,149,2710,500,2635,3445,3240,1855,1750,-5.79,-456,3100,1385,551,20856819,747,10428
362,포스코케미칼,3670,154000,154500,1500,154000,-0.96,155500,223159,155500,34616,157000,500,154000,202000,198500,109000,107500,185.10,832,184500,71100,119293,77463220,6102,38731
363,한국금융지주,71050,95900,96000,1200,95900,-1.24,97100,290140,97300,27926,97500,5000,95800,126000,127500,68000,68700,4.28,22386,121000,48600,53441,55725992,19127,278629
364,한국전자홀딩스,6200,1440,1445,5,1440,+0.35,1435,519119,1445,744,1470,500,1405,1865,1825,1005,985,-29.39,-49,2040,510,674,46803136,4228,23401
365,한국종합기술,23350,9120,9130,70,9120,+0.77,9050,72951,9100,662,9160,500,9010,11750,11950,6340,6470,13.59,671,12500,3770,999,10950000,164,5475
366,한국주철관공업,970,10200,10250,50,10200,+0.49,10150,226769,10150,2297,10350,500,10000,13150,13250,7150,7150,11.07,921,11600,7880,2326,22800500,650,12000
367,한국콜마,161890,54900,54900,800,54800,-1.44,55700,182995,55500,9991,55600,500,54000,72400,72000,39000,38800,7.84,7000,62800,43650,12562,22881180,6037,11440
368,한국타이어앤테크놀로지,161390,48350,48600,550,48350,-1.12,48900,262024,49000,12733,49250,500,48300,63500,63500,34250,34250,13.32,3629,57500,25200,59894,123875069,51647,61937
369,한국토지신탁,34830,2200,2200,20,2195,-0.90,2220,497359,2220,1091,2220,1000,2175,2885,2885,1555,1555,7.83,281,2560,1650,5555,252489230,36686,252489
370,한국프랜지공업,10100,3275,3280,110,3275,-3.25,3385,456587,3385,1499,3395,1000,3225,4400,4400,2370,2370,7.28,450,4270,1820,997,30450420,1017,30450
371,한온시스템,18880,15600,15650,100,15600,-0.64,15700,1009311,15650,15784,15750,100,15550,20400,20450,11000,11050,61.66,253,20200,9630,83273,533800000,95724,53380
372,한올바이오파마,9420,22200,22250,850,22200,-3.69,23050,382104,23050,8573,23100,500,22100,29950,29400,16150,15900,56.78,391,41950,19350,11597,52240638,3018,26120
373,해태제과식품,101530,10200,10250,400,10200,-3.77,10600,92826,10650,958,10700,500,10200,13750,13450,7450,7250,10.58,964,11600,7920,2970,29116822,257,14558
374,현대에너지솔루션,322000,30200,30200,400,30150,-1.31,30600,45362,30500,1367,30800,5000,29950,39750,39700,21450,21400,113.53,266,46650,26250,3382,11200000,208,56000
375,호텔신라,8770,93500,93500,900,93400,-0.95,94400,285904,93800,26777,94400,5000,93200,122500,121500,66100,65600,-17.69,-5284,103000,69100,36697,39248121,7441,196240
376,화승알앤에이,378850,6400,6410,40,6400,+0.63,6360,309624,6410,1976,6490,500,6300,8260,7850,4460,4230,N/A,N/A,9300,5140,1216,18993623,303,9496
377,화승인더스트리,6060,7330,7340,70,7330,-0.95,7400,145937,7410,1068,7420,500,7280,9620,9490,5180,5110,9.63,761,9540,6370,4055,55320000,8544,27660
378,화천기공,850,37050,37050,350,36850,-0.94,37400,4434,37400,163,37400,5000,36600,48600,48550,26200,26150,50.89,728,40800,29750,815,2200000,189,11000
379,환인제약,16580,21400,21400,50,21350,-0.23,21450,82014,21450,1739,21500,500,21000,27850,27850,15050,15050,14.80,1446,23550,14100,3980,18600070,2703,9700
380,효성,4800,122500,122500,2500,122000,-2.00,125000,115726,124000,14219,125000,5000,121500,162500,156000,87500,84000,91.55,1338,128500,64500,25812,21071025,2056,105355
381,효성화학,298000,392500,393000,16500,392500,-4.03,409000,44016,408500,17458,408500,5000,391500,531000,519000,286500,280000,42.85,9159,475000,95500,12521,3190126,320,15950
382,흥아해운,3280,1035,0,0,0,0.00,1035,0,0,0,0,500,0,0,0,0,0,-0.79,-1316,0,0,2475,239125028,4589,119562
383,APS홀딩스,54620,19500,19500,800,19450,-3.94,20300,155182,20200,3015,20250,500,18650,26350,26450,14250,14250,-8.72,-2235,22400,6630,3977,20394221,276,10197
384,CBI,13720,4200,4205,180,4200,-4.11,4380,695857,4380,2903,4495,100,3940,5690,6370,3070,3430,-40.78,-103,34350,3305,1718,40893855,1280,4089
385,CS,65770,5230,5240,110,5230,+2.15,5120,619181,5100,3200,5270,500,5050,6650,6680,3590,3600,249.05,21,8490,2125,1015,19411130,91,9705
386,CSA 코스믹,83660,1540,1545,25,1540,-1.60,1565,18120,1560,28,1590,500,1540,2030,2015,1100,1085,-3.46,-445,4550,1375,584,37934114,109,18967
387,HB솔루션,297890,28800,28850,850,28800,-2.87,29650,278911,29650,8124,29800,500,28700,38500,35250,20800,19050,-58.54,-492,29850,12100,4698,16313684,488,8156
388,HRS,36640,5710,5710,0,5700,0.00,5710,161857,5720,916,5750,500,5600,7420,7430,4000,4010,9.15,624,7300,3060,934,16354800,438,8177
389,NHN벅스,104200,6090,6090,310,6080,-4.84,6400,255174,6400,1580,6450,500,5900,8320,8450,4480,4550,-18.34,-332,8180,4220,903,14827550,87,7413
390,NICE평가정보,30190,24000,24050,500,24000,-2.04,24500,101769,24400,2448,24400,500,23850,31850,31850,17150,17150,29.27,820,30400,17550,14572,60714820,24196,30357
391,PN풍년,24940,8150,8150,250,8140,-2.98,8400,375316,8500,3053,8500,500,8010,10900,10950,5880,5920,26.90,303,13950,3140,815,10000000,75,5000
392,RF머트리얼즈,327260,26400,26400,550,26350,-2.04,26950,31202,27400,828,27400,500,26200,35000,34950,18900,18850,-82.76,-319,40800,16450,975,3693662,54,1846
393,SM C&C,48550,3780,3780,195,3775,-4.91,3975,7950764,3920,30282,3975,500,3705,5160,4835,2785,2605,-26.25,-144,4300,1495,3589,94945120,3481,47416
394,THQ,192410,3575,3575,80,3565,+2.29,3495,90126,3480,316,3580,500,3475,4540,4560,2450,2460,-13.75,-260,7870,1855,1031,28832135,359,14416
395,TS트릴리온,317240,1190,1190,30,1185,-2.46,1220,210593,1230,253,1230,100,1190,1585,1585,855,855,-47.60,-25,3500,1205,1084,91084053,137,9108
396,갤럭시아머니트리,94480,7010,7010,10,7000,-0.14,7020,282250,7040,1970,7120,500,6880,9120,9080,4920,4900,82.47,85,8890,3220,2750,39229838,171,19614
397,경남제약헬스케어,223310,3320,0,0,0,0.00,3320,0,0,0,0,100,0,0,0,0,0,-8.88,-374,0,0,378,11396461,0,1139
398,고영,98460,24450,24450,450,24400,+1.88,24000,174941,23950,4216,24450,100,23700,31200,31500,16800,17000,181.11,135,155300,22650,16786,68654755,44986,6865
399,국영지앤엠,6050,2630,2630,60,2625,-2.23,2690,579799,2700,1546,2730,500,2620,3495,3470,1885,1870,-28.59,-92,4785,2025,918,34895243,1443,17447
400,나노엔텍,39860,8140,8140,160,8120,-1.93,8300,212480,8300,1736,8300,500,8080,10750,10800,5810,5820,48.74,167,16600,6770,2181,26798327,135,13399
401,나이벡,138610,38550,38650,0,38550,0.00,38550,136621,39000,5322,39800,500,38200,50100,49200,27000,26500,-79.00,-488,55500,17300,3818,9902979,226,4951
402,남화토건,91590,12800,12850,100,12800,-0.78,12900,193101,13000,2451,13050,500,12550,16750,17200,9050,9300,19.31,663,16200,10000,1503,11740000,297,5870
403,네오팜,92730,31650,31700,600,31650,-1.86,32250,49396,32400,1572,32500,500,31500,41900,41950,22600,22650,14.06,2251,39000,26600,2598,8207361,1144,4103
404,넥스틴,348210,59900,60000,500,59900,-0.83,60400,33616,60200,2024,60700,500,59800,78500,78700,42300,42500,27.99,2140,192500,48100,5728,9563400,1138,4781
405,넵튠,217270,27050,27100,1250,27050,-4.42,28300,383964,28250,10456,28250,500,26900,36750,35450,19850,19150,14.55,1859,43200,8850,8578,31711822,219,15855
406,노바렉스,194700,48500,48550,150,48500,-0.31,48650,36697,48400,1785,49200,500,48250,63200,63300,34100,34150,16.31,2974,50700,35800,4367,9003740,139,4501
407,뉴로스,126870,2230,0,0,0,0.00,2230,0,0,0,0,500,0,2895,2895,1565,1565,-0.89,-2503,7380,2025,795,35639385,1285,17819
408,대성파인텍,104040,2630,2630,5,2625,-0.19,2635,316603,2650,828,2660,100,2600,3425,3390,1845,1830,175.33,15,3540,1125,823,31301281,235,3130
409,대아티아이,45390,7100,7110,290,7100,+4.26,6810,16090339,6740,113225,7230,100,6740,8850,8820,4770,4760,68.93,103,7550,4920,5052,71151522,5364,7115
410,대양제지,6580,3260,0,0,0,0.00,3260,0,0,0,0,500,0,4235,4235,2285,2285,-47.94,-68,3870,2595,875,26850000,129,13425
411,대주전자재료,78600,57400,57500,700,57400,-1.20,58100,463339,58500,26828,59300,500,56800,75500,73500,40700,39700,107.09,536,65200,32950,8832,15387644,1497,7693
412,대창솔루션,96350,683,683,5,682,-0.73,688,1562215,690,1065,694,100,676,894,881,482,475,-4.16,-164,842,297,1118,163761009,1881,16376
413,덕산네오룩스,213420,61200,61200,500,61100,+0.82,60700,219423,60700,13371,62000,200,59700,78900,76100,42500,41100,38.59,1586,64000,27800,14694,24010012,4161,4802
414,동국S&C,100130,6110,6110,90,6100,-1.45,6200,306550,6270,1876,6270,500,6070,8060,7930,4340,4270,290.95,21,11250,5510,3491,57143000,591,28571
415,동국산업,5160,3815,3820,70,3815,-1.80,3885,87761,3890,337,3895,1000,3805,5050,5050,2720,2720,30.04,127,4640,3000,2069,54244482,2565,54244
416,동아엘텍,88130,12500,12550,350,12500,-2.72,12850,192092,12750,2399,12850,500,12300,16700,16550,9000,8950,19.00,658,14700,6600,1333,10662938,252,5575
417,디딤,217620,2130,2150,15,2130,+0.71,2115,452586,2110,979,2220,100,2095,2745,2730,1485,1470,-2.81,-759,2690,1080,810,38039353,4829,3803
418,디알텍,214680,1580,1585,20,1580,-1.25,1600,457181,1605,726,1620,100,1560,2080,2060,1120,1110,-10.90,-145,1930,1340,894,56583437,1401,5658
419,디엠티,134580,3295,3300,105,3295,-3.09,3400,77441,3400,258,3400,500,3275,4420,4490,2380,2420,-11.40,-289,4160,1645,371,11250000,1369,5625
420,디오,39840,48900,48900,450,48550,-0.91,49350,165429,49650,8083,49800,500,48300,64100,63200,34550,34100,46.79,1045,55000,25500,7644,15631048,4391,7815
421,딜리,131180,2550,2555,115,2550,-4.32,2665,2353254,2640,6080,2685,100,2510,3460,3665,1870,1975,-85.00,-30,3240,1325,748,29350000,4597,2935
422,럭슬,33600,179,0,0,0,0.00,179,0,0,0,0,500,0,232,232,126,126,-0.23,-773,0,0,95,52828103,2499,26414
423,레드캡투어,38390,26200,26250,900,26200,-3.32,27100,22722,27100,599,27100,500,25850,35200,35200,19000,19000,19.52,1342,32150,13250,2250,8589480,1063,4294
424,레이언스,228850,13850,13900,50,13850,+0.36,13800,53081,13900,735,14000,500,13700,17900,17700,9700,9600,-13850.00,-1,15100,10450,2298,16591014,457,8295
425,로보로보,215100,4270,4275,15,4270,-0.35,4285,81471,4280,348,4310,100,4260,5570,5460,3000,2940,-34.44,-124,6240,4190,760,17798454,405,1779
426,루트로닉,85370,16650,16650,250,16500,-1.48,16900,319622,16950,5317,17100,500,16350,21950,21500,11850,11600,-30.16,-552,17550,4850,4334,26030290,2006,13015
427,리더스코스메틱,16100,4790,4795,60,4790,-1.24,4850,82120,4850,389,4850,500,4695,6300,6290,3395,3395,3.89,1232,8380,3300,915,19100894,572,9550
428,릭스솔루션,29480,513,513,6,512,-1.16,519,1096791,524,563,525,100,508,674,660,364,356,-1.73,-296,1900,464,433,84417839,1401,8441
429,매일홀딩스,5990,10500,10500,50,10450,+0.48,10450,11080,10700,116,10700,500,10450,13550,13700,7350,7400,23.49,447,12300,7460,1440,13718304,511,6859
430,머큐리,100590,10300,10300,50,10250,+0.49,10250,111397,10250,1138,10300,500,10100,13300,13250,7200,7150,13.99,736,12100,8790,1521,14763600,292,7381
431,메디앙스,14100,6200,0,0,0,0.00,6200,0,0,0,0,500,0,8060,8060,4340,4340,3.42,1814,9220,6130,732,11800000,368,5900
432,메디프론,65650,3000,3005,45,3000,-1.48,3045,341392,3040,1027,3045,500,2990,3955,4030,2135,2170,-37.04,-81,6600,3015,1308,43615959,243,21807
433,메타바이오메드,59210,3060,3060,75,3055,-2.39,3135,301405,3150,920,3165,500,3000,4075,4030,2195,2170,-34.77,-88,3885,2430,730,23862351,657,11931
434,멕아이씨에스,58110,13750,13850,750,13750,-5.17,14500,162536,14400,2282,14500,500,13750,18850,16950,10150,9150,7.88,1745,49800,11400,2207,16050530,858,8025
435,멜파스,96640,2600,2600,210,2595,+8.79,2390,14134994,2400,36867,2740,500,2400,3105,2990,1675,1610,-4.65,-559,2640,950,922,35451871,7545,17725
436,모두투어,80160,24500,24500,50,24450,+0.20,24450,109871,24500,2686,24700,500,24100,31750,31350,17150,16950,-6.98,-3511,31550,10500,4630,18900000,2432,9450
437,무림SP,1810,3570,3585,110,3570,-2.99,3680,175992,3710,636,3710,500,3535,4780,4795,2580,2585,83.02,43,5200,1880,790,22137500,612,11068
438,미래에셋벤처투자,100790,8690,8690,120,8680,-1.36,8810,276263,8800,2409,8940,1000,8560,11450,11450,6170,6190,8.28,1050,11750,3230,4014,46195823,451,46695
439,바이오로그디바이스,208710,4490,4490,230,4485,-4.87,4720,24999740,4885,118348,5080,100,4280,6130,5150,3305,2780,-6.31,-712,6080,1425,1860,41431412,577,4143
440,박셀바이오,323990,81400,81500,700,81400,+0.87,80700,457998,81100,37694,84300,500,80500,104900,104200,56500,56200,-277.82,-293,299700,20450,12392,15223000,595,7611
441,부스타,8470,7520,7590,190,7520,-2.46,7710,85328,7740,649,7750,500,7520,10000,10000,5400,5410,9.99,753,9560,4350,632,8404800,419,4202
442,비트컴퓨터,32850,10600,10600,300,10550,-2.75,10900,332907,10800,3611,11200,500,10550,14150,14400,7650,7800,25.06,423,15000,8250,1762,16623293,437,8311
443,삼륭물산,14970,8530,8530,160,8500,+1.91,8370,90836,8340,768,8550,500,8250,10850,11000,5860,5930,-19.04,-448,11300,6550,1290,15125000,110,7562
444,삼양옵틱스,225190,10300,10300,50,10250,-0.48,10350,11325,10350,116,10400,500,10200,13450,13300,7250,7200,42.92,240,11250,8800,1041,10108800,124,5054
445,삼일,32280,2850,2850,15,2845,+0.53,2835,73744,2850,210,2870,1000,2815,3685,3610,1985,1950,-12.56,-227,4285,1745,462,16213590,603,16213
446,삼일기업공사,2290,7960,7960,160,7930,+2.05,7800,247799,7830,1978,8220,500,7710,10100,10150,5460,5490,45.75,174,11900,2600,987,12400000,782,6200
447,삼지전자,37460,13350,13400,100,13350,-0.74,13450,46554,13450,624,13550,500,13300,17450,17250,9450,9350,9.00,1484,17250,10750,2179,16318522,257,8309
448,삼진,32750,12250,12250,150,12200,+1.24,12100,34757,12100,420,12300,500,11850,15700,15700,8500,8500,10.69,1146,15850,8450,735,6000000,153,3000
449,삼표시멘트,38500,5610,5620,100,5610,-1.75,5710,375463,5710,2118,5720,500,5590,7420,7440,4000,4020,116.88,48,6750,3260,6023,107357173,1316,53678
450,삼화네트웍스,46390,3300,3305,120,3300,-3.51,3420,526600,3385,1757,3415,200,3300,4445,4550,2395,2450,-75.00,-44,5660,1310,1425,43172933,93,8634
451,상보,27580,2390,2395,55,2390,+2.36,2335,1476870,2345,3514,2430,500,2325,3035,3015,1635,1625,31.04,77,2885,1005,1195,50013010,730,24503
452,상신이디피,91580,16550,16550,100,16500,+0.61,16450,272046,16600,4534,16950,500,16400,21350,21800,11550,11800,16.75,988,18900,9740,2246,13571861,492,6785
453,서호전기,65710,23250,23250,450,23200,-1.90,23700,14085,23850,329,23850,500,23150,30800,30700,16600,16600,20.10,1157,27600,19000,1197,5150000,152,2575
454,성우하이텍,15750,6570,6590,140,6570,-2.09,6710,716924,6720,4725,6780,500,6500,8720,8690,4700,4690,-199.09,-33,9100,2735,5256,80000000,5897,40000
455,세경하이테크,148150,23150,23150,550,23100,-2.32,23700,146938,23750,3430,23750,500,23050,30800,30450,16600,16450,-40.76,-568,30950,19850,2719,11744000,121,5872
456,세명전기,17510,5970,5970,50,5960,-0.83,6020,381442,6040,2279,6060,500,5920,7820,7780,4220,4200,26.65,224,6780,3665,910,15246000,216,7623
457,셀바스AI,108860,4875,4880,95,4875,-1.91,4970,158017,4975,784,5060,500,4865,6460,6420,3480,3460,-85.53,-57,5560,2305,1075,22055945,1043,11027
458,손오공,66910,2850,2875,90,2850,-3.06,2940,346285,2940,1002,2950,500,2850,3820,3800,2060,2050,-178.12,-16,4395,1475,767,26896161,1217,13448
459,솔루에타,154040,3785,3785,35,3780,-0.92,3820,46135,3840,175,3875,500,3745,4965,4970,2675,2680,-10.43,-363,5920,2330,523,13825216,457,6912
460,솔브레인,357780,339800,339800,3900,338600,-1.13,343700,21624,343100,7330,343100,500,336800,446800,444600,240600,239400,21.00,16179,372600,201100,26432,7778566,2269,3889
461,슈프리마,236200,28050,28050,100,28000,+0.36,27950,41822,28400,1173,28400,500,27900,36300,36100,19600,19500,26.02,1078,34700,24700,2018,7193273,509,3596
462,스튜디오드래곤,253450,92200,92200,800,92100,-0.86,93000,78015,93000,7200,93100,500,92000,120900,120500,65100,64900,72.60,1270,113000,77900,27664,30004345,3633,15002
463,시스웍,269620,2325,2325,40,2320,+1.75,2285,33655683,2325,81409,2490,100,2300,2970,3085,1600,1665,465.00,5,13400,1735,1739,74800958,666,7480
464,신라에스지,25870,16400,16450,250,16400,+1.55,16150,34784,16350,564,16700,500,15800,20950,21700,11350,11700,-77.00,-213,26450,8080,656,4000000,18,2000
465,신라젠,215600,12100,0,0,0,0.00,12100,0,0,0,0,500,0,15700,15700,8500,8500,-20.58,-588,0,0,10934,90367125,2444,35808
466,신한제6호스팩,333050,2255,2255,15,2245,+0.67,2240,118801,2245,267,2265,100,2230,2910,2910,1570,1570,751.67,3,3320,1945,113,5010000,24,501
467,씨앤투스성진,352700,20400,20400,50,20350,+0.25,20350,40889,20550,832,20550,500,20200,26450,26300,14250,14200,4.38,4659,34650,19300,2039,9995531,475,4997
468,씨이랩,189330,110000,110000,2400,109900,+2.23,107600,28784,105100,3046,110000,500,103000,139800,143300,75400,77300,355.99,309,117300,24000,3315,3013642,51,1506
469,씨티케이,260930,11850,11850,1000,11800,-7.78,12850,1278828,13050,15463,13050,500,11450,16700,14750,9000,7950,101.28,117,19200,8420,2292,19341591,365,9670
470,아가방컴퍼니,13990,6090,6090,170,6080,-2.72,6260,523050,6290,3202,6300,500,6020,8130,8090,4390,4370,-145.00,-42,7500,2430,2003,32887536,635,16443
471,아래스,50320,990,0,0,0,0.00,990,0,0,0,0,100,0,0,0,0,0,30.94,32,0,0,452,45661760,163,4566
472,아모텍,52710,30100,30150,450,30100,-1.47,30550,49806,30500,1496,30700,500,29750,39700,39550,21400,21350,-14.28,-2108,43700,27700,2933,9743406,443,4871
473,아미코젠,92040,39500,39550,1050,39500,-2.59,40550,212570,40550,8469,40550,500,39500,52700,52500,28400,28350,19.36,2040,49650,27500,7592,19219510,1558,9609
474,아이에이,38880,1160,1165,35,1160,-2.93,1195,3245829,1205,3804,1205,100,1155,1550,1540,840,830,20.71,56,2020,358,3419,294769150,3173,29476
475,아이엠,101390,1310,1310,40,1305,-2.96,1350,2809230,1335,3702,1350,500,1300,1755,1805,945,975,-4.78,-274,2440,670,824,62898038,1206,31449
476,아이퀘스트,262840,13650,13700,0,13650,0.00,13650,195491,13650,2689,14050,100,13500,17700,17150,9600,9250,26.05,524,27150,10950,1346,9860000,15,986
477,액트로,290740,8720,8720,80,8700,-0.91,8800,11246,8810,98,8850,500,8590,11400,11400,6160,6160,-27.51,-317,14450,8480,878,10065011,73,5032
478,앱코,129890,22000,22050,300,22000,-1.35,22300,23387,22100,515,22250,500,21950,28950,28750,15650,15550,9.50,2317,34800,21550,2163,9833482,604,4916
479,에스에스알,275630,6600,6620,90,6600,-1.35,6690,28234,6720,188,6800,500,6600,8690,8760,4690,4720,-36.87,-179,7880,4970,391,5930038,269,2965
480,에스엘바이오닉스,214310,1255,1270,70,1255,-5.28,1325,1134960,1320,1422,1320,500,1195,1720,1780,930,960,-7.65,-164,2830,761,519,41352913,0,20676
481,에스티팜,237690,107400,107700,2600,107400,-2.36,110000,115362,110000,12470,110100,500,106900,143000,138800,77000,74800,-153.43,-700,145200,54700,20037,18656000,0,9328
482,에프알텍,73540,4565,4565,30,4560,-0.65,4595,24475,4640,112,4640,500,4565,5970,5860,3220,3165,-12.97,-352,9050,4140,520,11400000,100,5700
483,엠에프엠코리아,323230,2810,2810,30,2805,-1.06,2840,84978,2800,237,2850,100,2770,3690,3675,1990,1985,-9.56,-294,4565,1865,570,20271660,0,2027
484,연이비앤티,90740,2930,2930,115,2925,-3.78,3045,876169,3090,2593,3090,500,2900,3955,3945,2135,2125,-0.79,-3717,9410,2995,560,19126082,130,9563
485,영신금속,7530,3010,3010,15,3005,-0.50,3025,84879,3040,256,3065,500,2995,3930,3935,2120,2125,-37.62,-80,6010,1725,577,19174452,387,9587
486,예림당,36000,3255,3255,85,3250,-2.54,3340,85140,3340,279,3345,500,3250,4340,4325,2340,2335,-1.75,-1863,4300,2195,750,23034277,643,11617
487,오성첨단소재,52420,3280,3285,100,3280,-2.96,3380,603524,3380,2000,3400,500,3280,4390,4385,2370,2365,19.88,165,5800,1990,2227,67887544,604,34005
488,오션브릿지,241790,15900,15900,400,15850,-2.45,16300,88279,16300,1405,16500,500,15800,21150,20700,11450,11200,11.46,1388,20050,13250,1590,10002634,144,5001
489,와이더플래닛,321820,24300,24350,450,24300,-1.82,24750,35287,25000,866,25000,500,24300,32150,32100,17350,17300,-34.13,-712,31000,17700,1676,6897482,59,3448
490,와이지-원,19210,9250,9250,10,9220,+0.11,9240,138752,9240,1279,9310,500,9080,12000,11650,6470,6290,-11.10,-833,10250,3930,2828,30573819,3298,15286
491,우리손에프앤지,73560,2585,2590,45,2585,-1.71,2630,1580396,2655,4119,2665,500,2555,3415,3430,1845,1850,7.91,327,2965,1800,1790,69237643,1228,34618
492,우림기계,101170,5900,5910,180,5900,-2.96,6080,818645,6070,4896,6180,500,5860,7900,8330,4260,4490,-8.99,-656,7300,2770,796,13500000,151,6750
493,우수AMS,66590,5670,5680,90,5670,-1.56,5760,150750,5790,857,5790,500,5640,7480,7560,4040,4080,-30.98,-183,13150,3310,2020,35618100,308,17809
494,원익큐브,14190,4190,4190,20,4185,-0.48,4210,3010999,4300,13063,4460,500,4180,5470,5510,2950,2970,25.71,163,7400,1425,1483,35399906,759,17699
495,원일특강,12620,13800,13850,350,13800,+2.60,13450,504827,13600,7731,16800,500,13500,17450,17650,9450,9550,15.47,892,15800,8370,607,4400000,105,2200
496,윈하이텍,192390,5750,5750,290,5740,+5.31,5460,778142,5530,4505,6050,500,5510,7090,7480,3830,4040,19.62,293,7580,2455,613,10656896,35,5328
497,윌링스,313760,18150,18150,350,18100,+1.97,17800,114708,17800,2055,18250,500,17550,23100,23050,12500,12450,-140.70,-129,21250,10150,882,4862000,13,2431
498,유니테스트,86390,23400,23450,350,23400,-1.47,23750,149089,23750,3499,23800,500,23350,30850,30550,16650,16450,107.83,217,29300,12500,4945,21134126,1837,10567
499,유바이오로직스,206650,37150,37150,850,37100,-2.24,38000,224139,38250,8445,38800,500,37100,49400,48250,26600,26050,-16.32,-2276,61500,15350,13031,35077992,1235,17538
500,유안타제8호스팩,367480,2205,2205,0,2190,0.00,2205,36803,2205,81,2205,100,2180,2865,2885,1545,1555,N/A,N/A,2685,2020,143,6490000,11,649
501,육일씨엔에쓰,191410,5230,5230,150,5210,-2.79,5380,51023,5380,266,5440,500,5120,6990,6960,3770,3760,-3.29,-1591,6170,2210,490,9363022,354,4681
502,이글루시큐리티,67920,8480,8510,10,8480,+0.12,8470,130779,8510,1103,8550,500,8320,11000,10800,5930,5830,16.66,509,8910,4295,932,10996119,397,5498
503,이글벳,44960,8450,8450,40,8440,+0.48,8410,101324,8400,853,8480,500,8360,10900,10900,5890,5890,35.96,235,13200,6900,1068,12641883,171,6320
504,이녹스,88390,23500,23650,900,23500,-3.69,24400,80111,24400,1907,24400,500,23500,31700,31700,17100,17100,18.36,1280,30400,6550,2197,9350844,78,4675
505,이랜시스,264850,3690,3700,135,3690,-3.53,3825,314828,3835,1167,3850,100,3615,4970,4955,2680,2675,25.99,142,4560,1800,1061,28751812,224,2875
506,이삭엔지니어링,351330,16700,16750,50,16700,-0.30,16750,154997,16850,2542,16900,500,16050,21750,21700,11750,11700,N/A,N/A,29600,14900,1384,8288520,16,4144
507,이엔코퍼레이션,66980,10600,10600,100,10550,-0.93,10700,69152,10800,739,10950,500,10550,13900,13750,7500,7450,-5.94,-1784,15000,471,2045,19291574,562,9645
508,이지케어텍,99750,40050,40150,800,40050,-1.96,40850,35377,40500,1421,41000,500,39900,53100,54000,28600,29150,-32.30,-1240,44000,17350,2558,6386000,207,3193
509,인바디,41830,29100,29150,400,29100,-1.36,29500,59467,29600,1732,29600,500,28800,38350,38350,20650,20650,17.60,1653,32850,15000,3982,13683782,4050,6841
510,인선이엔티,60150,12550,12600,100,12550,-0.79,12650,219555,12650,2765,12700,500,12550,16400,16400,8900,8900,16.45,763,15000,8780,5844,46563612,1723,23281
511,인포바인,115310,27700,27700,4800,27500,+20.96,22900,237937,23100,6634,29750,500,23000,29750,29550,16050,15950,13.54,2046,24000,17400,884,3192883,528,1596
512,인포뱅크,39290,11700,11700,450,11650,-3.70,12150,153284,12200,1819,12200,500,11700,15750,15900,8550,8600,47.18,248,18850,5900,1017,8693978,35,4346
513,잉크테크,49550,8250,8250,200,8230,-2.37,8450,19368,8450,160,8450,500,8170,10950,11000,5920,5930,-49.11,-168,9820,2950,1600,19393957,247,9997
